Nick,League Points,Total Games,Daily League Points,Daily Games,lolchess
지보배,211,113,0,0,https://lolchess.gg/profile/KR/지보배
simsun7,211,112,0,0,https://lolchess.gg/profile/KR/simsun7
꼬마 커비,211,122,0,0,https://lolchess.gg/profile/KR/꼬마 커비
롤체어려운사람,211,290,0,0,https://lolchess.gg/profile/KR/롤체어려운사람
란란런,210,223,0,0,https://lolchess.gg/profile/KR/란란런
억까쟁이,209,179,0,0,https://lolchess.gg/profile/KR/억까쟁이
fne,209,112,0,0,https://lolchess.gg/profile/KR/fne
T33MO,209,165,0,0,https://lolchess.gg/profile/KR/T33MO
9ood bye,209,275,0,0,https://lolchess.gg/profile/KR/9ood bye
Mandrain,209,127,0,0,https://lolchess.gg/profile/KR/Mandrain
노래하는쭌,209,194,0,0,https://lolchess.gg/profile/KR/노래하는쭌
Soldering,208,175,0,0,https://lolchess.gg/profile/KR/Soldering
엉망진창 손격,208,208,0,0,https://lolchess.gg/profile/KR/엉망진창 손격
DiIlrose,208,183,0,0,https://lolchess.gg/profile/KR/DiIlrose
hicost,207,81,0,0,https://lolchess.gg/profile/KR/hicost
곽희영 공주 ,207,136,0,0,https://lolchess.gg/profile/KR/곽희영 공주 
트위치 나린,207,93,0,0,https://lolchess.gg/profile/KR/트위치 나린
꼬마 말랑,206,151,0,0,https://lolchess.gg/profile/KR/꼬마 말랑
세나릴,204,208,0,0,https://lolchess.gg/profile/KR/세나릴
베인 OuO b,204,136,0,0,https://lolchess.gg/profile/KR/베인 OuO b
You Kn0w What,204,68,0,0,https://lolchess.gg/profile/KR/You Kn0w What
명품캐시할인,204,167,0,0,https://lolchess.gg/profile/KR/명품캐시할인
사월에,204,243,0,0,https://lolchess.gg/profile/KR/사월에
민 떠,203,164,0,0,https://lolchess.gg/profile/KR/민 떠
리플평단 1430,203,81,0,0,https://lolchess.gg/profile/KR/리플평단 1430
행복한 시바,201,174,0,0,https://lolchess.gg/profile/KR/행복한 시바
나는 짹,201,161,0,0,https://lolchess.gg/profile/KR/나는 짹
Moeru Hana,201,180,0,0,https://lolchess.gg/profile/KR/Moeru Hana
cucua1,201,253,0,0,https://lolchess.gg/profile/KR/cucua1
Japan Mango,201,113,0,0,https://lolchess.gg/profile/KR/Japan Mango
twitch 초신성,201,155,0,0,https://lolchess.gg/profile/KR/twitch 초신성
uL 호준,201,116,0,0,https://lolchess.gg/profile/KR/uL 호준
Kimdarlim,200,112,0,0,https://lolchess.gg/profile/KR/Kimdarlim
단검에 순보,200,123,0,0,https://lolchess.gg/profile/KR/단검에 순보
Absolute 찬,200,204,0,0,https://lolchess.gg/profile/KR/Absolute 찬
탱글제비,194,175,0,0,https://lolchess.gg/profile/KR/탱글제비
헬로woo,192,175,0,0,https://lolchess.gg/profile/KR/헬로woo
IVE 11,192,209,0,0,https://lolchess.gg/profile/KR/IVE 11
고속버스꼬북이,190,232,0,0,https://lolchess.gg/profile/KR/고속버스꼬북이
꼬마 아서,190,133,0,0,https://lolchess.gg/profile/KR/꼬마 아서
방배동파퀴아오,189,121,0,0,https://lolchess.gg/profile/KR/방배동파퀴아오
박 휘 동,189,91,0,0,https://lolchess.gg/profile/KR/박 휘 동
The Sign,187,133,0,0,https://lolchess.gg/profile/KR/The Sign
호호재재,187,194,0,0,https://lolchess.gg/profile/KR/호호재재
TFT 구구가가,187,299,0,0,https://lolchess.gg/profile/KR/TFT 구구가가
