Nick,League Points,Total Games,Daily League Points,Daily Games,lolchess
Gainl,151,469,115,91,https://lolchess.gg/profile/BR/Gainl,https://app.mobalytics.gg/pt_br/tft/profile/BR/Gainl/overview
noMONEYYYY,126,244,115,42,https://lolchess.gg/profile/BR/noMONEYYYY,https://app.mobalytics.gg/pt_br/tft/profile/BR/noMONEYYYY/overview
VNS Anna,412,113,114,28,https://lolchess.gg/profile/BR/VNS Anna,https://app.mobalytics.gg/pt_br/tft/profile/BR/VNS Anna/overview
rionest,624,986,113,63,https://lolchess.gg/profile/BR/rionest,https://app.mobalytics.gg/pt_br/tft/profile/BR/rionest/overview
よだかの星,451,447,113,130,https://lolchess.gg/profile/BR/よだかの星,https://app.mobalytics.gg/pt_br/tft/profile/BR/よだかの星/overview
DuyKhang17,177,419,111,26,https://lolchess.gg/profile/BR/DuyKhang17,https://app.mobalytics.gg/pt_br/tft/profile/BR/DuyKhang17/overview
噴火龍果,206,354,109,55,https://lolchess.gg/profile/BR/噴火龍果,https://app.mobalytics.gg/pt_br/tft/profile/BR/噴火龍果/overview
あるたす,111,143,109,25,https://lolchess.gg/profile/BR/あるたす,https://app.mobalytics.gg/pt_br/tft/profile/BR/あるたす/overview
naochimaru,109,186,109,45,https://lolchess.gg/profile/BR/naochimaru,https://app.mobalytics.gg/pt_br/tft/profile/BR/naochimaru/overview
hakaginanasi,791,464,107,15,https://lolchess.gg/profile/BR/hakaginanasi,https://app.mobalytics.gg/pt_br/tft/profile/BR/hakaginanasi/overview
だいこんまる,309,256,107,31,https://lolchess.gg/profile/BR/だいこんまる,https://app.mobalytics.gg/pt_br/tft/profile/BR/だいこんまる/overview
TranViet205,117,161,107,12,https://lolchess.gg/profile/BR/TranViet205,https://app.mobalytics.gg/pt_br/tft/profile/BR/TranViet205/overview
siguu,106,50,106,20,https://lolchess.gg/profile/BR/siguu,https://app.mobalytics.gg/pt_br/tft/profile/BR/siguu/overview
subarun4,492,127,105,10,https://lolchess.gg/profile/BR/subarun4,https://app.mobalytics.gg/pt_br/tft/profile/BR/subarun4/overview
putiputikun,155,226,105,27,https://lolchess.gg/profile/BR/putiputikun,https://app.mobalytics.gg/pt_br/tft/profile/BR/putiputikun/overview
AkiHyrt,133,277,105,33,https://lolchess.gg/profile/BR/AkiHyrt,https://app.mobalytics.gg/pt_br/tft/profile/BR/AkiHyrt/overview
ryu07,292,206,102,19,https://lolchess.gg/profile/BR/ryu07,https://app.mobalytics.gg/pt_br/tft/profile/BR/ryu07/overview
spellnerd,197,344,101,33,https://lolchess.gg/profile/BR/spellnerd,https://app.mobalytics.gg/pt_br/tft/profile/BR/spellnerd/overview
せいみ,770,286,100,75,https://lolchess.gg/profile/BR/せいみ,https://app.mobalytics.gg/pt_br/tft/profile/BR/せいみ/overview
cøcø,466,129,100,20,https://lolchess.gg/profile/BR/cøcø,https://app.mobalytics.gg/pt_br/tft/profile/BR/cøcø/overview
さんご味,99,131,99,16,https://lolchess.gg/profile/BR/さんご味,https://app.mobalytics.gg/pt_br/tft/profile/BR/さんご味/overview
ストライガ,99,129,99,17,https://lolchess.gg/profile/BR/ストライガ,https://app.mobalytics.gg/pt_br/tft/profile/BR/ストライガ/overview
shimapen4,1185,114,98,16,https://lolchess.gg/profile/BR/shimapen4,https://app.mobalytics.gg/pt_br/tft/profile/BR/shimapen4/overview
OnlyMIZ,166,172,98,79,https://lolchess.gg/profile/BR/OnlyMIZ,https://app.mobalytics.gg/pt_br/tft/profile/BR/OnlyMIZ/overview
anhson66,673,552,97,12,https://lolchess.gg/profile/BR/anhson66,https://app.mobalytics.gg/pt_br/tft/profile/BR/anhson66/overview
とれいたん,390,471,97,68,https://lolchess.gg/profile/BR/とれいたん,https://app.mobalytics.gg/pt_br/tft/profile/BR/とれいたん/overview
